Type,Name,Position,Number,Role
Coach,Mike MacDonald,Head Coach,,11 years (2nd year Head Coach) - Manages the team and calls defensive plays
Coach,Leslie Frazier,Assistant Head Coach,,26 years - Helps the head coach and provides administrative support
Coach,Klint Kubiak,Offensive Coordinator,,12 years - Calls the offensive plays
Coach,Aden Durde,Defensive Coordinator,,9 years - Manages defense
Coach,Jay Harbaugh,Special Teams Coordinator,,5 years - Manages special team units
Coach,Rick Dennison,Run Game Coordinator/Senior Offensive Advisor,,29 years - Oversees run game and related position groups
Coach,Jamey Peetz,Offensive Passing Game Coordinator,,11 years - Helps offensive coordinator and schemes plays
Coach,Karl Scott,Defensive Passing Game Coordinator/Defensive Backs Coach,,5 years - Coaches cornerbacks and oversees passing defense schemes
Coach,John Benton,Offensive Line Coach,,33 years - Coaches offensive tackles and guards
Coach,Mack Brown,Tight Ends Coach,,7 years - Coaches tight ends
Coach,Josh Bynes,Defensive Assistant/Linebackers,,2 years - Helps defensive coordinator with linebackers
Coach,Michael Bryne,Offensive Assistant,,2 years - Helps offensive coordinator
Coach,Rob Caprice,Defensive Intern,,2 years - Helps defensive coaches
Coach,Devin Fitzimmons,Assistant Special Teams,,11 years - Helps special teams coordinator
Coach,Justin Hinds,Defensive Line Coach,,4 years - Coaches defensive tackles and edge players
Coach,Jeff Howard,Safeties Coach,,13 years - Coaches strong and free safeties
Coach,Frisman Jackson,Wide Receivers Coach,,7 years - Coaches wide receivers
Coach,Andrew Janocko,Quarterbacks Coach,,13 years - Coaches and improves quarterbacks
Coach,Ivan Lewis,Director of Player Performance and Development,,7 years - Oversees development of player personnel
Coach,Quinshon Odom,Offensive Assistant/Quality Control - OL,,4 years - Helps offensive side and offensive line quality control
Coach,Kirk Olivadotti,Inside Linebackers Coach,,23 years - Coaches middle linebackers
Coach,Justin Outten,Run Game Specialist/Assistant Offensive Line,,11 years - Helps run game and offensive line coaches
Coach,Chris Partridge,Outside Linebackers Coach,,2 years - Coaches outside linebackers
Coach,Tyson Prince,Offensive Assistant/Quarterbacks,,3 years - Develops quarterbacks and helps offensive scheme
Coach,Neiko Thorpe,Defensive Assistant/Defensive Backs,,3 years - Coaches defensive backs and helps defensive scheme
Coach,Danny Van Dijk,Head Strength Coach,,7 years - Leads weightlifting and fitness of players
Coach,Mark Phillip,Associate Head Strength Coach,,7 years - Oversees player weightlifting
Coach,Thomas Garcia,Strength and Conditioning Assistant,,7 years - Oversees conditioning of players through workouts
Coach,Tim Ojeda,Strength and Conditioning Assistant,,1 year - Helps the strength and conditioning coach
Coach,Jamie Yanchar,Strength and Conditioning Assistant,,16 years - Helps coaching staff with player conditioning
